school,G1,G2,G3
GP,0,11,11
GP,9,11,11
GP,12,13,12
GP,14,14,14
GP,11,13,13
GP,12,12,13
GP,13,12,13
GP,10,13,13
GP,15,16,17
GP,12,12,13
GP,14,14,14
GP,10,12,13
GP,12,13,12
GP,12,12,13
GP,14,14,15
GP,17,17,17
GP,13,13,14
GP,13,14,14
GP,8,8,7
GP,12,12,12
GP,12,13,14
GP,11,12,12
GP,12,13,14
GP,10,10,10
GP,10,11,10
GP,10,11,12
GP,11,12,12
GP,11,11,11
GP,12,12,13
GP,12,11,12
GP,10,11,11
GP,15,15,15
GP,13,14,15
GP,13,12,12
GP,12,12,12
GP,11,11,11
GP,14,14,14
GP,13,13,13
GP,11,12,12
GP,14,13,12
GP,11,11,10
GP,10,11,11
GP,14,15,15
GP,9,10,10
GP,10,11,11
GP,10,11,11
GP,13,12,13
GP,17,17,17
GP,11,12,13
GP,13,12,12
GP,14,13,13
GP,16,14,16
GP,10,9,9
GP,13,12,12
GP,13,12,13
GP,12,13,12
GP,15,14,15
GP,15,15,16
GP,14,13,14
GP,16,15,16
GP,17,16,16
GP,10,10,16
GP,13,13,10
GP,14,13,13
GP,13,12,12
GP,16,15,16
GP,11,12,12
GP,10,9,10
GP,11,10,11
GP,15,15,15
GP,13,11,11
GP,11,9,10
GP,13,11,11
GP,13,13,14
GP,11,11,11
GP,11,11,11
GP,12,11,11
GP,13,13,13
GP,9,9,10
GP,12,11,11
GP,11,11,12
GP,10,9,9
GP,12,11,11
GP,13,12,13
GP,13,12,12
GP,12,11,12
GP,13,11,11
GP,15,15,15
GP,12,10,11
GP,9,9,10
GP,9,11,11
GP,14,13,13
GP,12,13,12
GP,13,14,14
GP,11,12,12
GP,13,13,13
GP,9,11,11
GP,13,12,12
GP,12,13,13
GP,12,13,13
GP,9,9,8
GP,16,16,16
GP,12,13,12
GP,11,10,10
GP,16,16,16
GP,10,10,10
GP,10,10,10
GP,13,14,14
GP,12,10,11
GP,15,15,14
GP,13,14,14
GP,11,11,11
GP,8,10,10
GP,18,17,18
GP,10,9,10
GP,16,14,14
GP,16,15,16
GP,14,14,15
GP,12,11,11
GP,14,13,14
GP,14,14,14
GP,14,13,13
GP,14,12,13
GP,12,13,13
GP,12,11,11
GP,9,9,9
GP,10,11,11
GP,9,10,11
GP,14,14,15
GP,13,12,13
GP,10,11,12
GP,10,9,8
GP,11,10,11
GP,11,12,13
GP,13,12,12
GP,15,13,14
GP,9,9,11
GP,13,11,11
GP,12,11,11
GP,13,14,15
GP,10,9,10
GP,14,13,13
GP,11,11,12
GP,12,11,11
GP,12,11,11
GP,9,9,10
GP,10,10,10
GP,13,14,14
GP,8,9,9
GP,9,11,11
GP,9,8,9
GP,15,13,13
GP,12,11,11
GP,13,13,13
GP,10,11,11
GP,9,7,6
GP,12,12,12
GP,11,10,10
GP,11,11,11
GP,13,12,13
GP,11,11,11
GP,9,9,8
GP,12,11,11
GP,11,9,0
GP,9,10,10
GP,13,13,13
GP,11,9,11
GP,13,13,13
GP,7,8,8
GP,9,8,10
GP,11,10,11
GP,12,10,11
GP,10,10,1
GP,9,8,10
GP,8,8,9
GP,7,6,8
GP,8,9,10
GP,9,8,8
GP,8,8,8
GP,8,7,8
GP,9,10,11
GP,17,17,18
GP,12,12,13
GP,16,16,17
GP,9,9,10
GP,16,17,18
GP,11,9,10
GP,14,13,13
GP,14,14,15
GP,10,11,11
GP,13,12,14
GP,11,9,10
GP,10,9,11
GP,11,11,13
GP,11,10,11
GP,11,12,13
GP,17,18,17
GP,14,13,14
GP,14,15,16
GP,11,13,14
GP,10,9,11
GP,13,14,16
GP,12,13,14
GP,9,9,10
GP,12,12,13
GP,12,11,12
GP,10,11,12
GP,11,10,10
GP,13,12,12
GP,14,15,16
GP,13,13,14
GP,10,11,12
GP,14,15,16
GP,11,10,11
GP,14,14,15
GP,11,12,12
GP,14,15,15
GP,13,13,13
GP,13,13,13
GP,8,9,8
GP,11,11,12
GP,14,15,15
GP,12,13,13
GP,11,12,12
GP,12,12,12
GP,13,12,12
GP,13,13,13
GP,12,11,11
GP,12,11,11
GP,14,16,15
GP,11,9,10
GP,10,10,10
GP,12,13,13
GP,12,12,13
GP,11,10,11
GP,12,12,12
GP,13,13,14
GP,10,9,10
GP,15,16,16
GP,8,8,8
